sku,nom,categorie,price,desc,currency,source,name_length,name_word_count,brand_detected,has_quantity,price_log,price_bucket,category_freq,is_premium_category
MYM-0008,mondariz eau minérale plate mondariz 33cl,alimentation,9.5,mondariz eau minérale plate mondariz 33cl,MAD,MyMarket,41,6,0,1,2.3513752571634776,low,0.08565928777670838,0
MYM-0009,gullon biscuits sans gluten gullón 200g,alimentation,22.5,gullon biscuits sans gluten gullón 200g,MAD,MyMarket,39,6,0,1,3.1570004211501135,medium,0.08565928777670838,0
MYM-0010,lion thé lion 4011 - atay sebaa 4011 200g,alimentation,20.9,lion thé lion 4011 - atay sebaa 4011 200g,MAD,MyMarket,41,9,0,1,3.086486636822455,medium,0.08565928777670838,0
MYM-0011,shortbread gullón 175g,alimentation,18.2,shortbread gullón 175g,MAD,MyMarket,22,3,0,1,2.954910279033736,low,0.08565928777670838,0
MYM-0012,moins de graisses gullón digestive 400g,alimentation,20.05,moins de graisses gullón digestive 400g,MAD,MyMarket,39,6,0,1,3.0469005601283903,medium,0.08565928777670838,0
MYM-0013,gullon biscuits maria sans gluten gullon 380 g,alimentation,22.95,gullon biscuits maria sans gluten gullon 380 g,MAD,MyMarket,46,8,0,1,3.175968323856924,medium,0.08565928777670838,0
MYM-0014,gullon mini crackers gullon 350g,alimentation,19.0,gullon mini crackers gullon 350g,MAD,MyMarket,32,5,0,1,2.995732273553991,low,0.08565928777670838,0
MYM-0015,gullon mini fish cracker gullon 350g,alimentation,19.0,gullon mini fish cracker gullon 350g,MAD,MyMarket,36,6,0,1,2.995732273553991,low,0.08565928777670838,0
MYM-0016,javana flacon epices ras el hanout javana 35g,alimentation,18.9,javana flacon epices ras el hanout javana 35g,MAD,MyMarket,45,8,0,1,2.990719731730447,low,0.08565928777670838,0
MYM-0017,javana flacon epices curcuma javana 35g,alimentation,12.15,javana flacon epices curcuma javana 35g,MAD,MyMarket,39,6,0,1,2.5764217586237734,low,0.08565928777670838,0
MYM-0018,javana flacon basilic javana 8g,alimentation,9.95,javana flacon basilic javana 8g,MAD,MyMarket,31,5,0,1,2.3933394562625097,low,0.08565928777670838,0
MYM-0019,javana flacon epices curry javana 35g,alimentation,15.55,javana flacon epices curry javana 35g,MAD,MyMarket,37,6,0,1,2.806386101823072,low,0.08565928777670838,0
MYM-0020,javana flacon epices assortiment shawerma javana 35g,alimentation,13.2,javana flacon epices assortiment shawerma javana 35g,MAD,MyMarket,52,7,0,1,2.653241964607215,low,0.08565928777670838,0
MYM-0021,javana flacon epices piment doux javana 35g,alimentation,11.5,javana flacon epices piment doux javana 35g,MAD,MyMarket,43,7,0,1,2.5257286443082556,low,0.08565928777670838,0
MYM-0022,javana flacon epices poivre noir javana 35g,alimentation,13.9,javana flacon epices poivre noir javana 35g,MAD,MyMarket,43,7,0,1,2.7013612129514133,low,0.08565928777670838,0
MYM-0023,oulmes eau gazeuse fruits rouges oulmès 25cl,alimentation,7.9,oulmes eau gazeuse fruits rouges oulmès 25cl,MAD,MyMarket,44,7,0,1,2.186051276738094,low,0.08565928777670838,0
MYM-0001,arabica intensité 9 segafredo,alimentation,36.95,arabica intensité 9 segafredo,MAD,MyMarket,29,4,0,0,3.636269503841639,medium,0.08565928777670838,0
MYM-0002,segafredo 10 capsules café compatible machine nespresso aluminum ristretto intensité 11 segafredo,alimentation,36.95,segafredo 10 capsules café compatible machine nespresso aluminum ristretto intensité 11 segafredo,MAD,MyMarket,97,12,0,0,3.636269503841639,medium,0.08565928777670838,0
MYM-0003,95 segafredo 10 capsules café compatible machine nespresso aluminum espresso classico intensité 10 segafredo,alimentation,36.95,95 segafredo 10 capsules café compatible machine nespresso aluminum espresso classico intensité 10 segafredo,MAD,MyMarket,108,14,0,0,3.636269503841639,medium,0.08565928777670838,0
MYM-0004,arabica intensité 8 segafredo,alimentation,36.95,arabica intensité 8 segafredo,MAD,MyMarket,29,4,0,0,3.636269503841639,medium,0.08565928777670838,0
MYM-0005,monin sirop passion fruit monin 25cl,alimentation,81.0,monin sirop passion fruit monin 25cl,MAD,MyMarket,36,6,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0006,monin sirop coconut monin 25cl,alimentation,81.0,monin sirop coconut monin 25cl,MAD,MyMarket,30,5,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0007,monin sirop noisettes monin 25cl,alimentation,81.0,monin sirop noisettes monin 25cl,MAD,MyMarket,32,5,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0008,monin sirop caramel monin 25cl,alimentation,81.0,monin sirop caramel monin 25cl,MAD,MyMarket,30,5,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0009,monin sirop vanille monin 25cl,alimentation,81.0,monin sirop vanille monin 25cl,MAD,MyMarket,30,5,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0010,monin sirop fraise monin 25cl,alimentation,81.0,monin sirop fraise monin 25cl,MAD,MyMarket,29,5,1,1,4.406719247264253,high,0.08565928777670838,0
MYM-0011,monin sirop pêche monin 70cl,alimentation,145.0,monin sirop pêche monin 70cl,MAD,MyMarket,28,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0012,monin sirop melon monin 70cl,alimentation,145.0,monin sirop melon monin 70cl,MAD,MyMarket,28,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0013,monin sirop banane monin 70cl,alimentation,145.0,monin sirop banane monin 70cl,MAD,MyMarket,29,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0014,monin sirop mangue monin 70cl,alimentation,145.0,monin sirop mangue monin 70cl,MAD,MyMarket,29,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0015,monin sirop framboise monin 70cl,alimentation,145.0,monin sirop framboise monin 70cl,MAD,MyMarket,32,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0016,monin sirop fraise monin 70cl,alimentation,145.0,monin sirop fraise monin 70cl,MAD,MyMarket,29,5,1,1,4.983606621708336,high,0.08565928777670838,0
MYM-0017,monin sirop menthe verte monin 70cl,alimentation,117.3,monin sirop menthe verte monin 70cl,MAD,MyMarket,35,6,1,1,4.773223770984341,high,0.08565928777670838,0
MYM-0018,monin sirop grenadine monin 70cl,alimentation,117.3,monin sirop grenadine monin 70cl,MAD,MyMarket,32,5,1,1,4.773223770984341,high,0.08565928777670838,0
MYM-0001,saint eloi riz demi complet bio saint eloi 500g,bio,37.15,saint eloi riz demi complet bio saint eloi 500g,MAD,MyMarket,47,9,1,1,3.641525757730466,medium,0.05004812319538017,1
MYM-0002,saint eloi riz etuvé bio saint eloi 500g,bio,53.95,saint eloi riz etuvé bio saint eloi 500g,MAD,MyMarket,40,8,1,1,4.006423680849631,medium,0.05004812319538017,1
MYM-0003,saint eloi riz long basmati bio saint eloi 500g,bio,43.15,saint eloi riz long basmati bio saint eloi 500g,MAD,MyMarket,47,9,1,1,3.787592927049969,medium,0.05004812319538017,1
MYM-0004,saint eloi riz thaï bio saint eloi 500g,bio,41.95,saint eloi riz thaï bio saint eloi 500g,MAD,MyMarket,39,8,1,1,3.7600366484302645,medium,0.05004812319538017,1
MYM-0005,saint eloi mélange de céréales légumes secs bio saint eloi 500g,bio,44.35,saint eloi mélange de céréales légumes secs bio saint eloi 500g,MAD,MyMarket,63,11,1,1,3.814410176561146,medium,0.05004812319538017,1
MYM-0006,saint eloi lentilles corail bio saint eloi 500g,bio,55.15,saint eloi lentilles corail bio saint eloi 500g,MAD,MyMarket,47,8,1,1,4.0280266811844525,medium,0.05004812319538017,1
MYM-0007,saint eloi boulgour bio saint eloi 500g,bio,45.55,saint eloi boulgour bio saint eloi 500g,MAD,MyMarket,39,7,1,1,3.840527003723076,medium,0.05004812319538017,1
